"name","label","geometry","site"
336,336,"43.9649 4.4828","ripisylves_gardon"
337,337,"43.9307 4.3246","ripisylves_gardon"
338,338,"43.9830 4.4152","ripisylves_gardon"
339,339,"43.9821 4.4130","ripisylves_gardon"
340,340,"43.9846 4.4121","ripisylves_gardon"
341,341,"43.9845 4.4123","ripisylves_gardon"
342,342,"43.9911 4.4024","ripisylves_gardon"
343,343,"43.9833 4.2121","ripisylves_gardon"
344,344,"43.9808 4.2120","ripisylves_gardon"
345,345,"43.9806 4.2124","ripisylves_gardon"
346,346,"43.9820 4.2113","ripisylves_gardon"
347,347,"43.9829 4.2113","ripisylves_gardon"
348,348,"43.9814 4.2115","ripisylves_gardon"
349,349,"43.9847 4.2173","ripisylves_gardon"
350,350,"43.9846 4.2162","ripisylves_gardon"
351,351,"43.9850 4.2153","ripisylves_gardon"
352,352,"43.9861 4.2175","ripisylves_gardon"
353,353,"43.9857 4.2097","ripisylves_gardon"
354,354,"43.9834 4.2086","ripisylves_gardon"
355,355,"43.9796 4.2119","ripisylves_gardon"
356,356,"43.9789 4.2123","ripisylves_gardon"
357,357,"43.9785 4.2184","ripisylves_gardon"
358,358,"43.9792 4.2161","ripisylves_gardon"
359,359,"43.9968 4.2089","ripisylves_gardon"
360,360,"43.9966 4.1965","ripisylves_gardon"
361,361,"43.9926 4.2094","ripisylves_gardon"
362,362,"43.9914 4.2094","ripisylves_gardon"
363,363,"43.9968 4.1992","ripisylves_gardon"
364,364,"43.9965 4.2008","ripisylves_gardon"
365,365,"43.9971 4.2016","ripisylves_gardon"
366,366,"43.9918 4.2081","ripisylves_gardon"
367,367,"43.9910 4.2129","ripisylves_gardon"
368,368,"43.9915 4.2112","ripisylves_gardon"
369,369,"43.9921 4.2103","ripisylves_gardon"
370,370,"43.9941 4.2093","ripisylves_gardon"
371,371,"43.9915 4.2045","ripisylves_gardon"
372,372,"43.9921 4.2053","ripisylves_gardon"
373,373,"43.9951 4.2014","ripisylves_gardon"
374,374,"43.9860 4.2096","ripisylves_gardon"
375,375,"43.9865 4.2088","ripisylves_gardon"
376,376,"43.9864 4.2074","ripisylves_gardon"
377,377,"43.9870 4.2066","ripisylves_gardon"
378,378,"43.9856 4.2136","ripisylves_gardon"
379,379,"43.9861 4.2107","ripisylves_gardon"
380,380,"43.9868 4.2077","ripisylves_gardon"
381,381,"43.9862 4.2086","ripisylves_gardon"
382,382,"43.9895 4.2083","ripisylves_gardon"
383,383,"43.9918 4.2076","ripisylves_gardon"
384,384,"43.9921 4.2078","ripisylves_gardon"
385,385,"43.9911 4.2064","ripisylves_gardon"
386,386,"43.9921 4.2069","ripisylves_gardon"
387,387,"43.9914 4.2089","ripisylves_gardon"
388,388,"43.9911 4.2087","ripisylves_gardon"
389,389,"43.9933 4.1964","ripisylves_gardon"
390,390,"43.9944 4.1980","ripisylves_gardon"
391,391,"43.9953 4.1960","ripisylves_gardon"
392,392,"43.9959 4.1946","ripisylves_gardon"
393,393,"43.9972 4.1941","ripisylves_gardon"
394,394,"43.9971 4.1913","ripisylves_gardon"
395,395,"43.9957 4.1936","ripisylves_gardon"
396,396,"43.9929 4.1925","ripisylves_gardon"
397,397,"43.9940 4.1978","ripisylves_gardon"
398,398,"43.9939 4.1983","ripisylves_gardon"
399,399,"43.9939 4.2006","ripisylves_gardon"
